t4,x4,y4,z4,q1,q2,q3,q4,img
1533558228993,6.795274,0.000003,-6.817822,0.707101,-0.002802,0.002802,-0.707101,img_0_0_1533558230027245500.png
1533558229065,6.798920,0.000003,-6.818510,0.707102,-0.002523,0.002523,-0.707102,img_0_0_1533558230113048200.png
1533558229182,6.804082,0.000003,-6.819613,0.707104,-0.002126,0.002126,-0.707104,img_0_0_1533558230227927800.png
1533558229269,6.807390,0.000003,-6.820410,0.707104,-0.001872,0.001872,-0.707104,img_0_0_1533558230318013900.png
1533558229410,6.811929,0.000003,-6.821650,0.707105,-0.001523,0.001523,-0.707105,img_0_0_1533558230474900600.png
1533558229494,6.814219,0.000003,-6.822353,0.707106,-0.001347,0.001347,-0.707105,img_0_0_1533558230556957400.png
1533558229650,6.818112,0.000003,-6.824740,0.706999,0.012321,-0.012321,-0.706999,img_0_0_1533558230688584800.png
1533558229797,6.828975,0.000003,-6.835627,0.706593,0.026957,-0.026957,-0.706593,img_0_0_1533558230835653500.png
1533558229887,6.843387,0.000003,-6.847017,0.706440,0.030706,-0.030706,-0.706440,img_0_0_1533558230931922200.png
1533558230007,6.873842,0.000003,-6.867594,0.706324,0.033259,-0.033259,-0.706324,img_0_0_1533558231055795000.png
1533558230100,6.906922,0.000003,-6.887695,0.706278,0.034220,-0.034220,-0.706278,img_0_0_1533558231162377500.png
1533558230232,6.965146,0.000003,-6.897672,0.707071,0.007080,-0.007080,-0.707071,img_0_0_1533558231285105700.png
1533558230328,7.010034,0.000003,-6.888144,0.707089,-0.004988,0.004988,-0.707089,img_0_0_1533558231376983600.png
1533558230439,7.060400,0.000003,-6.879508,0.707006,-0.011930,0.011930,-0.707006,img_0_0_1533558231498070300.png
1533558230538,7.101951,0.000003,-6.874681,0.706961,-0.014348,0.014348,-0.706961,img_0_0_1533558231582364300.png
1533558230628,7.136317,0.000003,-6.871884,0.706951,-0.014843,0.014843,-0.706951,img_0_0_1533558231703830200.png
1533558230733,7.172159,0.000003,-6.869831,0.706962,-0.014319,0.014319,-0.706962,img_0_0_1533558231807903700.png
1533558230874,7.213398,0.000003,-6.868348,0.706992,-0.012767,0.012767,-0.706991,img_0_0_1533558231919940400.png
1533558230973,7.238054,0.000003,-6.867884,0.707014,-0.011482,0.011482,-0.707013,img_0_0_1533558232022325200.png
1533558231123,7.269527,0.000003,-6.867811,0.707042,-0.009560,0.009560,-0.707042,img_0_0_1533558232176430700.png
1533558231210,7.284949,0.000003,-6.868036,0.707055,-0.008529,0.008529,-0.707055,img_0_0_1533558232259682800.png
1533558231324,7.302457,0.000003,-6.868557,0.707069,-0.007305,0.007305,-0.707069,img_0_0_1533558232377359300.png
1533558231420,7.315124,0.000003,-6.869157,0.707078,-0.006391,0.006391,-0.707078,img_0_0_1533558232483456900.png
1533558231534,7.328045,0.000003,-6.870012,0.707086,-0.005438,0.005438,-0.707086,img_0_0_1533558232587880000.png
1533558231630,7.337381,0.000003,-6.870820,0.707091,-0.004739,0.004739,-0.707091,img_0_0_1533558232677599800.png
1533558231729,7.345733,0.000003,-6.871737,0.707102,-0.002710,0.002710,-0.707102,img_0_0_1533558232790024600.png
1533558231789,7.350569,0.000003,-6.873411,0.707030,0.010445,-0.010445,-0.707030,img_0_0_1533558232878996900.png
1533558231921,7.366183,0.000003,-6.882943,0.706656,0.025258,-0.025258,-0.706656,img_0_0_1533558232983137200.png
1533558232008,7.382966,0.000003,-6.893475,0.706483,0.029702,-0.029702,-0.706483,img_0_0_1533558233068501600.png
1533558232146,7.423083,0.000003,-6.916852,0.706332,0.033088,-0.033088,-0.706332,img_0_0_1533558233182810000.png
1533558232221,7.452431,0.000003,-6.932916,0.706290,0.033974,-0.033974,-0.706290,img_0_0_1533558233275679700.png
1533558232320,7.498676,0.000003,-6.949081,0.706908,0.016790,-0.016790,-0.706907,img_0_0_1533558233383364800.png
1533558232371,7.524094,0.000003,-6.946109,0.707083,0.005749,-0.005749,-0.707083,img_0_0_1533558233466034400.png
1533558232515,7.596551,0.000003,-6.932504,0.707034,-0.010181,0.010181,-0.707033,img_0_0_1533558233568040300.png
1533558232614,7.643502,0.000003,-6.926363,0.706958,-0.014509,0.014509,-0.706958,img_0_0_1533558233671900400.png
1533558232695,7.678992,0.000003,-6.923133,0.706929,-0.015845,0.015845,-0.706929,img_0_0_1533558233770434900.png
1533558232803,7.721761,0.000003,-6.920415,0.706928,-0.015920,0.015920,-0.706928,img_0_0_1533558233881170400.png
1533558232947,7.770757,0.000003,-6.918438,0.706957,-0.014536,0.014536,-0.706957,img_0_0_1533558234000521000.png
1533558233064,7.804314,0.000003,-6.917650,0.706988,-0.012946,0.012946,-0.706988,img_0_0_1533558234120999400.png
1533558233226,7.842728,0.000003,-6.917337,0.707026,-0.010677,0.010677,-0.707026,img_0_0_1533558234289630900.png
1533558233319,7.861133,0.000003,-6.917462,0.707044,-0.009463,0.009463,-0.707043,img_0_0_1533558234385096300.png
1533558233430,7.880128,0.000003,-6.917840,0.707060,-0.008146,0.008146,-0.707060,img_0_0_1533558234491229900.png
1533558233568,7.899878,0.000003,-6.918585,0.707075,-0.006722,0.006722,-0.707075,img_0_0_1533558234618085400.png
1533558233691,7.914441,0.000003,-6.919442,0.707084,-0.005644,0.005644,-0.707084,img_0_0_1533558234755878200.png
1533558233823,7.927422,0.000003,-6.920501,0.707091,-0.004669,0.004669,-0.707091,img_0_0_1533558234887095700.png
1533558233916,7.935176,0.000003,-6.921303,0.707095,-0.004081,0.004081,-0.707095,img_0_0_1533558234978304500.png
1533558234018,7.942616,0.000003,-6.922651,0.707066,0.007619,-0.007619,-0.707066,img_0_0_1533558235089845800.png
1533558234114,7.951109,0.000003,-6.927587,0.706822,0.020082,-0.020082,-0.706822,img_0_0_1533558235179803200.png
1533558234219,7.966406,0.000003,-6.937772,0.706561,0.027783,-0.027783,-0.706561,img_0_0_1533558235290980000.png
1533558234300,7.984106,0.000003,-6.948929,0.706429,0.030950,-0.030950,-0.706429,img_0_0_1533558235385286900.png
1533558234450,8.032611,0.000003,-6.976960,0.706302,0.033722,-0.033722,-0.706302,img_0_0_1533558235526046800.png
1533558234543,8.073443,0.000003,-6.997371,0.706641,0.025667,-0.025667,-0.706641,img_0_0_1533558235617627800.png
1533558234624,8.112857,0.000003,-6.996444,0.707079,0.006306,-0.006306,-0.707079,img_0_0_1533558235723431000.png
1533558234708,8.154902,0.000003,-6.988080,0.707091,-0.004757,0.004757,-0.707091,img_0_0_1533558235819646300.png
1533558234861,8.228341,0.000003,-6.976831,0.706967,-0.014064,0.014064,-0.706967,img_0_0_1533558235933914900.png
1533558234924,8.256135,0.000003,-6.974069,0.706940,-0.015361,0.015361,-0.706940,img_0_0_1533558236024374000.png
1533558235074,8.315319,0.000003,-6.970097,0.706934,-0.015655,0.015655,-0.706933,img_0_0_1533558236163115900.png
1533558235161,8.345111,0.000003,-6.968821,0.706950,-0.014876,0.014876,-0.706950,img_0_0_1533558236251995800.png
1533558235257,8.374331,0.000003,-6.967938,0.706975,-0.013679,0.013679,-0.706974,img_0_0_1533558236352131300.png
1533558235332,8.394686,0.000003,-6.967534,0.706994,-0.012643,0.012643,-0.706994,img_0_0_1533558236433565900.png
1533558235473,8.427696,0.000003,-6.967278,0.707026,-0.010689,0.010689,-0.707026,img_0_0_1533558236567417900.png
1533558235563,8.445593,0.000003,-6.967386,0.707043,-0.009517,0.009517,-0.707043,img_0_0_1533558236668356500.png
