timestamp,voltage5V_v,voltage3V3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5V_OC,hipower_5V_OC
66394717,5.069238,3.319336,1,0,1,0,1,0,0
66894717,5.078906,3.319336,1,0,1,0,1,0,0
67404718,5.0950193,3.319336,1,0,1,0,1,0,0
67904717,5.0998535,3.3209472,1,0,1,0,1,0,0
68404717,5.08374,3.319336,1,0,1,0,1,0,0
68904717,5.078906,3.319336,1,0,1,0,1,0,0
69404717,5.1014647,3.3209472,1,0,1,0,1,0,0
69904717,5.077295,3.3177245,1,0,1,0,1,0,0
70404717,5.077295,3.3177245,1,0,1,0,1,0,0
70904717,5.0950193,3.3209472,1,0,1,0,1,0,0
71404717,5.082129,3.319336,1,0,1,0,1,0,0
71904717,5.0805173,3.319336,1,0,1,0,1,0,0
72404731,5.077295,3.3177245,1,0,1,0,1,0,0
72904717,5.0756836,3.3225586,1,0,1,0,1,0,0
73404717,5.0982423,3.3209472,1,0,1,0,1,0,0
73904725,5.0901856,3.319336,1,0,1,0,1,0,0
74404717,5.0724607,3.319336,1,0,1,0,1,0,0
74904717,5.0950193,3.3209472,1,0,1,0,1,0,0
75404717,5.0724607,3.319336,1,0,1,0,1,0,0
75904717,5.0740724,3.319336,1,0,1,0,1,0,0
76404717,5.077295,3.319336,1,0,1,0,1,0,0
76904717,5.0950193,3.3177245,1,0,1,0,1,0,0
77404717,5.0756836,3.319336,1,0,1,0,1,0,0
77914718,5.0756836,3.319336,1,0,1,0,1,0,0
78414717,5.091797,3.319336,1,0,1,0,1,0,0
78914717,5.077295,3.319336,1,0,1,0,1,0,0
79414717,5.0740724,3.3177245,1,0,1,0,1,0,0
79914717,5.0805173,3.319336,1,0,1,0,1,0,0
80414718,5.069238,3.3177245,1,0,1,0,1,0,0
80914718,5.08374,3.3177245,1,0,1,0,1,0,0
81414718,5.091797,3.3209472,1,0,1,0,1,0,0
81914718,5.0982423,3.319336,1,0,1,0,1,0,0
82414718,5.0740724,3.319336,1,0,1,0,1,0,0
82914717,5.0756836,3.3177245,1,0,1,0,1,0,0
83414717,5.093408,3.319336,1,0,1,0,1,0,0
83914717,5.0756836,3.3209472,1,0,1,0,1,0,0
84424757,5.0950193,3.319336,1,0,1,0,1,0,0
84924717,5.078906,3.319336,1,0,1,0,1,0,0
85424717,5.0982423,3.319336,1,0,1,0,1,0,0
85924717,5.069238,3.319336,1,0,1,0,1,0,0
86424725,5.0950193,3.3209472,1,0,1,0,1,0,0
86924719,5.0724607,3.3209472,1,0,1,0,1,0,0
87424717,5.082129,3.3177245,1,0,1,0,1,0,0
87924717,5.069238,3.3209472,1,0,1,0,1,0,0
88424718,5.0740724,3.319336,1,0,1,0,1,0,0
88924717,5.0901856,3.319336,1,0,1,0,1,0,0
89424717,5.0982423,3.3209472,1,0,1,0,1,0,0
89924717,5.077295,3.3177245,1,0,1,0,1,0,0
90424717,5.091797,3.3209472,1,0,1,0,1,0,0
90924717,5.0756836,3.3209472,1,0,1,0,1,0,0
91424717,5.0740724,3.319336,1,0,1,0,1,0,0
91924717,5.093408,3.319336,1,0,1,0,1,0,0
92424718,5.082129,3.319336,1,0,1,0,1,0,0
92924717,5.082129,3.319336,1,0,1,0,1,0,0
93424718,5.0740724,3.319336,1,0,1,0,1,0,0
93934718,5.0756836,3.319336,1,0,1,0,1,0,0
94434717,5.0708494,3.319336,1,0,1,0,1,0,0
94934718,5.0756836,3.319336,1,0,1,0,1,0,0
95434717,5.0740724,3.3209472,1,0,1,0,1,0,0
95934717,5.0756836,3.319336,1,0,1,0,1,0,0
96434717,5.077295,3.319336,1,0,1,0,1,0,0
96934719,5.0950193,3.319336,1,0,1,0,1,0,0
97444717,5.0998535,3.319336,1,0,1,0,1,0,0
97944717,5.0982423,3.319336,1,0,1,0,1,0,0
98444717,5.0740724,3.319336,1,0,1,0,1,0,0
98944718,5.0756836,3.319336,1,0,1,0,1,0,0
99444717,5.077295,3.3209472,1,0,1,0,1,0,0
99944717,5.0708494,3.3209472,1,0,1,0,1,0,0
100454724,5.0901856,3.319336,1,0,1,0,1,0,0
100954717,5.08374,3.319336,1,0,1,0,1,0,0
101454717,5.08374,3.3177245,1,0,1,0,1,0,0
101954717,5.0756836,3.3177245,1,0,1,0,1,0,0
102454718,5.078906,3.319336,1,0,1,0,1,0,0
102954717,5.091797,3.319336,1,0,1,0,1,0,0
103454717,5.0805173,3.319336,1,0,1,0,1,0,0
103964717,5.0724607,3.319336,1,0,1,0,1,0,0
104464717,5.0950193,3.319336,1,0,1,0,1,0,0
104964718,5.0853515,3.319336,1,0,1,0,1,0,0
105464717,5.0950193,3.319336,1,0,1,0,1,0,0
105964718,5.0740724,3.319336,1,0,1,0,1,0,0
106464717,5.0756836,3.3177245,1,0,1,0,1,0,0
106964722,5.0708494,3.319336,1,0,1,0,1,0,0
107474718,5.091797,3.3177245,1,0,1,0,1,0,0
107974717,5.078906,3.319336,1,0,1,0,1,0,0
108474717,5.0740724,3.319336,1,0,1,0,1,0,0
108974717,5.082129,3.319336,1,0,1,0,1,0,0
109474721,5.0982423,3.319336,1,0,1,0,1,0,0
109984718,5.0966306,3.3177245,1,0,1,0,1,0,0
110484717,5.077295,3.3177245,1,0,1,0,1,0,0
110984717,5.093408,3.3177245,1,0,1,0,1,0,0
111484718,5.0756836,3.319336,1,0,1,0,1,0,0
111984718,5.0756836,3.319336,1,0,1,0,1,0,0
112494717,5.082129,3.3209472,1,0,1,0,1,0,0
112994717,5.0901856,3.319336,1,0,1,0,1,0,0
113494755,5.0756836,3.319336,1,0,1,0,1,0,0
113994719,5.0740724,3.319336,1,0,1,0,1,0,0
114494720,5.0756836,3.319336,1,0,1,0,1,0,0
114994717,5.0853515,3.319336,1,0,1,0,1,0,0
115494717,5.077295,3.319336,1,0,1,0,1,0,0
116004717,5.0756836,3.3177245,1,0,1,0,1,0,0
116504717,5.091797,3.319336,1,0,1,0,1,0,0
117004717,5.0740724,3.319336,1,0,1,0,1,0,0
117504729,5.0708494,3.319336,1,0,1,0,1,0,0
118004718,5.0950193,3.3177245,1,0,1,0,1,0,0
118504717,5.0950193,3.319336,1,0,1,0,1,0,0
119004717,5.0708494,3.319336,1,0,1,0,1,0,0
119504717,5.0805173,3.3177245,1,0,1,0,1,0,0
120004717,5.0756836,3.319336,1,0,1,0,1,0,0
120504717,5.0756836,3.319336,1,0,1,0,1,0,0
121004717,5.088574,3.319336,1,0,1,0,1,0,0
121504717,5.0756836,3.319336,1,0,1,0,1,0,0
122004717,5.0756836,3.319336,1,0,1,0,1,0,0
122504718,5.0756836,3.319336,1,0,1,0,1,0,0
123004717,5.077295,3.319336,1,0,1,0,1,0,0
123504717,5.0756836,3.319336,1,0,1,0,1,0,0
124004717,5.0853515,3.3209472,1,0,1,0,1,0,0
124504717,5.069238,3.3209472,1,0,1,0,1,0,0
125004717,5.062793,3.319336,1,0,1,0,1,0,0
125514718,5.077295,3.319336,1,0,1,0,1,0,0
126014717,5.08374,3.319336,1,0,1,0,1,0,0
126514717,5.0740724,3.3177245,1,0,1,0,1,0,0
127014718,5.0901856,3.3128905,1,0,1,0,1,0,0
127514718,5.077295,3.3209472,1,0,1,0,1,0,0
128014718,5.0708494,3.319336,1,0,1,0,1,0,0
128514725,5.0740724,3.319336,1,0,1,0,1,0,0
129014722,5.077295,3.319336,1,0,1,0,1,0,0
129514717,5.077295,3.3209472,1,0,1,0,1,0,0
130014718,5.0724607,3.3209472,1,0,1,0,1,0,0
130514717,5.078906,3.319336,1,0,1,0,1,0,0
131014717,5.091797,3.319336,1,0,1,0,1,0,0
131514717,5.0740724,3.319336,1,0,1,0,1,0,0
132024718,5.0950193,3.319336,1,0,1,0,1,0,0
132524717,5.0724607,3.3209472,1,0,1,0,1,0,0
133024718,5.077295,3.319336,1,0,1,0,1,0,0
133524718,5.093408,3.3209472,1,0,1,0,1,0,0
134024717,5.0901856,3.319336,1,0,1,0,1,0,0
134524718,5.091797,3.319336,1,0,1,0,1,0,0
135024719,5.088574,3.3209472,1,0,1,0,1,0,0
135524718,5.0853515,3.3177245,1,0,1,0,1,0,0
136024717,5.078906,3.319336,1,0,1,0,1,0,0
136524718,5.078906,3.319336,1,0,1,0,1,0,0
137024717,5.0966306,3.319336,1,0,1,0,1,0,0
137524717,5.077295,3.314502,1,0,1,0,1,0,0
138034717,5.0982423,3.319336,1,0,1,0,1,0,0
138534726,5.0901856,3.319336,1,0,1,0,1,0,0
139034717,5.0756836,3.3209472,1,0,1,0,1,0,0
139534720,5.0740724,3.319336,1,0,1,0,1,0,0
140034718,5.0740724,3.319336,1,0,1,0,1,0,0
140534717,5.088574,3.3225586,1,0,1,0,1,0,0
141034717,5.0660157,3.319336,1,0,1,0,1,0,0
141534717,5.0660157,3.319336,1,0,1,0,1,0,0
142034717,5.0869627,3.3209472,1,0,1,0,1,0,0
142534717,5.0724607,3.319336,1,0,1,0,1,0,0
143034718,5.0740724,3.319336,1,0,1,0,1,0,0
143534717,5.0869627,3.319336,1,0,1,0,1,0,0
144034717,5.0724607,3.319336,1,0,1,0,1,0,0
144534717,5.091797,3.319336,1,0,1,0,1,0,0
145044717,5.0660157,3.319336,1,0,1,0,1,0,0
145544717,5.077295,3.3209472,1,0,1,0,1,0,0
146044718,5.0756836,3.3177245,1,0,1,0,1,0,0
146544717,5.0853515,3.319336,1,0,1,0,1,0,0
147044717,5.0756836,3.319336,1,0,1,0,1,0,0
147544718,5.0853515,3.319336,1,0,1,0,1,0,0
148044718,5.077295,3.319336,1,0,1,0,1,0,0
