timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
15818707,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
15923736,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
16028713,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
16133706,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
16238705,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
16343716,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
16427716,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
16532715,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
16637705,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
16742707,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
16847719,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
16952723,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
17036713,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
17141708,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
17246707,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
17351742,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
17456708,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
