timestamp,heartbeat_time,telem_time,rxerrors,fixed,type,rssi,remote_rssi,noise,remote_noise,txbuf,system_id,component_id
101206720,101206720,0,0,0,0,0,0,0,0,0,0,0
102217194,102217194,0,0,0,0,0,0,0,0,0,0,0
103211727,103211727,0,0,0,0,0,0,0,0,0,0,0
104212753,104212753,0,0,0,0,0,0,0,0,0,0,0
105208712,105208712,0,0,0,0,0,0,0,0,0,0,0
106208006,106208006,0,0,0,0,0,0,0,0,0,0,0
107225107,107225107,0,0,0,0,0,0,0,0,0,0,0
108214926,108214926,0,0,0,0,0,0,0,0,0,0,0
109214967,109214967,0,0,0,0,0,0,0,0,0,0,0
110243402,110243402,0,0,0,0,0,0,0,0,0,0,0
111213696,111213696,0,0,0,0,0,0,0,0,0,0,0
112213693,112213693,0,0,0,0,0,0,0,0,0,0,0
113213065,113213065,0,0,0,0,0,0,0,0,0,0,0
114218690,114218690,0,0,0,0,0,0,0,0,0,0,0
115215380,115215380,0,0,0,0,0,0,0,0,0,0,0
116220690,116220690,0,0,0,0,0,0,0,0,0,0,0
117217685,117217685,0,0,0,0,0,0,0,0,0,0,0
118216729,118216729,0,0,0,0,0,0,0,0,0,0,0
119206711,119206711,0,0,0,0,0,0,0,0,0,0,0
120266477,120266477,0,0,0,0,0,0,0,0,0,0,0
121210697,121210697,0,0,0,0,0,0,0,0,0,0,0
122267715,122267715,0,0,0,0,0,0,0,0,0,0,0
123217702,123217702,0,0,0,0,0,0,0,0,0,0,0
124218692,124218692,0,0,0,0,0,0,0,0,0,0,0
125214304,125214304,0,0,0,0,0,0,0,0,0,0,0
126226692,126226692,0,0,0,0,0,0,0,0,0,0,0
127215722,127215722,0,0,0,0,0,0,0,0,0,0,0
128212745,128212745,0,0,0,0,0,0,0,0,0,0,0
129211926,129211926,0,0,0,0,0,0,0,0,0,0,0
130214796,130214796,0,0,0,0,0,0,0,0,0,0,0
131210764,131210764,0,0,0,0,0,0,0,0,0,0,0
132212707,132212707,0,0,0,0,0,0,0,0,0,0,0
133317938,133317938,0,0,0,0,0,0,0,0,0,0,0
134256704,134256704,0,0,0,0,0,0,0,0,0,0,0
135321892,135321892,0,0,0,0,0,0,0,0,0,0,0
136277767,136277767,0,0,0,0,0,0,0,0,0,0,0
137219835,137219835,0,0,0,0,0,0,0,0,0,0,0
138222353,138222353,0,0,0,0,0,0,0,0,0,0,0
139214818,139214818,0,0,0,0,0,0,0,0,0,0,0
140217692,140217692,0,0,0,0,0,0,0,0,0,0,0
141212737,141212737,0,0,0,0,0,0,0,0,0,0,0
142213696,142213696,0,0,0,0,0,0,0,0,0,0,0
143529966,143529966,0,0,0,0,0,0,0,0,0,0,0
145337690,145337690,0,0,0,0,0,0,0,0,0,0,0
145348681,145348681,0,0,0,0,0,0,0,0,0,0,0
146366806,146366806,0,0,0,0,0,0,0,0,0,0,0
148112556,148112556,0,0,0,0,0,0,0,0,0,0,0
148462717,148462717,0,0,0,0,0,0,0,0,0,0,0
152127846,152127846,0,0,0,0,0,0,0,0,0,0,0
152138823,152138823,0,0,0,0,0,0,0,0,0,0,0
