timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,pos_itow,fix_quality,sacc,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
12750965,0,307872066,1038586442,566011,525733,357611600,0,0,0.0,0.0,0.010000001,0.009000001,0.79999995,1.89,0,0,0.04,0.0,0.0,-0.04,-1.5707965,-12750965,6,1,17
12937864,0,307872066,1038586442,566012,525733,357611800,0,0,0.0,0.0,0.010000001,0.009000001,0.79999995,1.89,0,0,0.07,0.01,0.0,-0.07,-1.5707965,-12937864,6,1,17
13148001,0,307872066,1038586442,566007,525728,357612000,0,0,0.0,0.0,0.010000001,0.009000001,0.79999995,1.89,0,0,0.049999997,0.0,0.01,0.04,-1.5707965,-13148001,6,1,17
13337916,0,307872066,1038586443,566002,525723,357612200,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.02,0.01,-0.01,0.02,-1.5707965,-13337916,6,1,17
13547108,0,307872066,1038586443,565999,525720,357612400,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.06,0.02,0.01,-0.06,-1.5707965,-13547108,6,1,17
13755988,0,307872066,1038586443,565996,525718,357612600,0,0,0.0,0.0,0.008,0.008,0.79999995,1.89,0,0,0.049999997,-0.01,0.0,0.04,-1.5707965,-13755988,6,1,17
13944929,0,307872066,1038586443,565996,525718,357612800,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.02,0.0,0.0,0.02,-1.5707965,-13944929,6,1,17
14152057,0,307872066,1038586443,566000,525721,357613000,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.049999997,0.01,0.0,-0.04,-1.5707965,-14152057,6,1,17
14340950,0,307872066,1038586443,565998,525719,357613200,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.02,0.0,0.01,0.0,-1.5707965,-14340950,6,1,17
14548864,0,307872066,1038586442,565998,525719,357613400,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.03,0.0,0.0,0.03,-1.5707965,-14548864,6,1,17
