timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
186743737,-0.3043925,-0.20463067,0.28549823
186765950,-0.3043925,-0.2109814,0.29503733
186789503,-0.29880348,-0.21733212,0.28549823
186811684,-0.29321447,-0.22050747,0.28549823
186833684,-0.28762546,-0.22368285,0.29503733
186857133,-0.28483096,-0.22685821,0.29503733
186879685,-0.28203645,-0.23003356,0.30139676
186902674,-0.27644747,-0.23638429,0.29821703
186925761,-0.27085847,-0.23638429,0.29185766
186947688,-0.27085847,-0.23955967,0.29821703
186969687,-0.26526943,-0.24591038,0.29503733
186990673,-0.26247495,-0.24908575,0.29821703
187011691,-0.26247495,-0.2522611,0.29503733
187035699,-0.25968045,-0.2522611,0.30139676
187058673,-0.25968045,-0.2522611,0.29821703
187081139,-0.25688592,-0.25861183,0.29185766
187102689,-0.25688592,-0.26496255,0.28549823
187125831,-0.25409144,-0.26813793,0.28549823
187149409,-0.25409144,-0.26813793,0.28549823
187171730,-0.25409144,-0.26813793,0.28867796
187193179,-0.25688592,-0.26813793,0.28231853
187217358,-0.25688592,-0.2617872,0.29503733
187241130,-0.25688592,-0.25861183,0.29503733
187263696,-0.25688592,-0.25543648,0.30139676
187285683,-0.25409144,-0.25543648,0.29821703
187307696,-0.25409144,-0.25861183,0.29185766
187329685,-0.25129694,-0.25861183,0.29503733
187353153,-0.25129694,-0.26496255,0.28867796
187377170,-0.24850245,-0.26813793,0.29503733
187401123,-0.24850245,-0.27131328,0.28867796
187423694,-0.24850245,-0.27131328,0.29185766
187445688,-0.24850245,-0.27448863,0.27913883
187467684,-0.24850245,-0.27766404,0.2759591
187489675,-0.24850245,-0.28083938,0.27913883
187513155,-0.24850245,-0.28401473,0.28231853
187537140,-0.24850245,-0.28401473,0.2695997
187561300,-0.25129694,-0.28719008,0.2759591
187585188,-0.25129694,-0.28719008,0.2695997
187607691,-0.25409144,-0.29036546,0.26642
187630682,-0.25409144,-0.29036546,0.26642
187653431,-0.25409144,-0.28719008,0.26642
187674682,-0.25129694,-0.29036546,0.2632403
187697130,-0.24850245,-0.28719008,0.2632403
187718686,-0.24570793,-0.29036546,0.2759591
187740683,-0.23732442,-0.29036546,0.2695997
187762704,-0.23452993,-0.2935408,0.2759591
187785904,-0.22614641,-0.29671618,0.2727794
187808714,-0.22614641,-0.2935408,0.27913883
187831708,-0.22335193,-0.2935408,0.28549823
187852685,-0.22614641,-0.29036546,0.28231853
187874684,-0.22335193,-0.28719008,0.2759591
