timestamp,lat,lon,alt,x,y,z,yaw,valid_alt,valid_hpos,manual_home
133627290,30.787202957083593,103.85864269933629,0.7935825,-0.40507382,-0.15290292,-0.7935825,-0.7634474,1,1,0
133703764,30.787202709010824,103.85864264984322,0.817092,-0.43265826,-0.15763073,-0.817092,-0.7686463,1,1,0
133771833,30.787202480577395,103.85864258308222,0.82998294,-0.4580589,-0.16400805,-0.82998294,-0.7755684,1,1,0
133837894,30.7872022564411,103.85864249368667,0.83158886,-0.4829817,-0.17254753,-0.83158886,-0.78204644,1,1,0
133903760,30.787202031529173,103.85864239322187,0.8340656,-0.5079908,-0.1821444,-0.8340656,-0.7864856,1,1,0
133971236,30.787201825412048,103.85864227587851,0.83355254,-0.53090996,-0.1933536,-0.83355254,-0.79624796,1,1,0
134047951,30.787201635260267,103.8586421448304,0.83333504,-0.55205387,-0.20587192,-0.83333504,-0.8158002,1,1,0
134135828,30.787201434449383,103.85864199577995,0.8323956,-0.574383,-0.22010992,-0.8323956,-0.84686965,1,1,0
134235192,30.787201259847507,103.8586418345435,0.82103735,-0.59379786,-0.23551199,-0.82103735,-0.8823124,1,1,0
134377754,30.787201091917154,103.85864164580413,0.8065917,-0.61247087,-0.25354126,-0.8065917,-0.9340249,1,1,0
134566788,30.787200937485835,103.85864148919708,0.7788159,-0.62964284,-0.2685011,-0.7788159,-0.97087914,1,1,0
134822727,30.787200952222566,103.8586412193215,0.72943896,-0.6280042,-0.2942809,-0.72943896,-1.02995,1,1,0
135012780,30.787201067546196,103.8586409910838,0.68380123,-0.6151808,-0.31608322,-0.68380123,-1.0653223,1,1,0
135168753,30.787201185225168,103.85864078687618,0.6411485,-0.6020955,-0.3355901,-0.6411485,-1.0683432,1,1,0
135334779,30.78720131740503,103.85864058917282,0.59955084,-0.58739775,-0.35447565,-0.59955084,-1.0625939,1,1,0
135543890,30.787201479106088,103.85864039538207,0.57414615,-0.5694174,-0.37298745,-0.57414615,-1.0700158,1,1,0
135732915,30.78720162061621,103.85864014136659,0.5647509,-0.5536822,-0.3972522,-0.5647509,-1.0881853,1,1,0
135856869,30.787201709926478,103.85863984701668,0.5855676,-0.54375136,-0.4253699,-0.5855676,-1.1072443,1,1,0
135968723,30.787201798977822,103.85863952966218,0.6328946,-0.5338493,-0.45568508,-0.6328946,-1.115548,1,1,0
136104634,30.78720187986747,103.85863922868101,0.7165771,-0.5248548,-0.4844362,-0.7165771,-1.1214545,1,1,0
136384799,30.78720182742318,103.85863922537804,0.9288031,-0.5306863,-0.48475173,-0.9288031,-1.1143994,1,1,0
136565340,30.787201705365312,103.85863951618286,1.0479994,-0.54425853,-0.4569727,-1.0479994,-1.1379123,1,1,0
136774795,30.78720152186094,103.85863975461905,1.1366123,-0.5646633,-0.43419614,-1.1366123,-1.1791949,1,1,0
136950815,30.787201339676294,103.8586400020454,1.1544372,-0.5849213,-0.41056082,-1.1544372,-1.1991436,1,1,0
137129441,30.787201199129434,103.85864026858525,1.1390941,-0.6005494,-0.38509968,-1.1390941,-1.1978974,1,1,0
137385850,30.78720110370834,103.85864057175436,1.1035502,-0.61115974,-0.35613954,-1.1035502,-1.1740488,1,1,0
138266796,30.78720093892238,103.85864031621983,1.0233978,-0.6294831,-0.3805494,-1.0233978,-1.1645644,1,1,0
138554796,30.787200802038246,103.85864010245517,1.1128744,-0.6447039,-0.4009692,-1.1128744,-1.174362,1,1,0
138766695,30.787200730314286,103.85863983950753,1.2262225,-0.65267926,-0.4260872,-1.2262225,-1.1758668,1,1,0
138888756,30.787200707144596,103.85863956472163,1.2293407,-0.6552556,-0.45233604,-1.2293407,-1.1715019,1,1,0
138966948,30.787200687958197,103.85863932048906,1.2266026,-0.65738904,-0.47566628,-1.2266026,-1.1685214,1,1,0
139034344,30.78720067159028,103.85863905622985,1.2181103,-0.6592091,-0.50090957,-1.2181103,-1.1637181,1,1,0
139099760,30.787200655966927,103.85863877364272,1.210241,-0.6609463,-0.5279036,-1.210241,-1.1587622,1,1,0
139155063,30.78720064344722,103.858638503399,1.2054911,-0.66233844,-0.55371857,-1.2054911,-1.1570399,1,1,0
139209988,30.787200631772308,103.85863821255862,1.2110823,-0.6636366,-0.581501,-1.2110823,-1.1583116,1,1,0
139264778,30.787200621164114,103.85863792759542,1.217596,-0.6648162,-0.60872203,-1.217596,-1.1603448,1,1,0
139319888,30.787200607665064,103.85863760358787,1.2255504,-0.6663172,-0.63967276,-1.2255504,-1.1628004,1,1,0
139363928,30.787200599305553,103.8586373454941,1.2341739,-0.66724676,-0.6643271,-1.2341739,-1.1654012,1,1,0
139407759,30.787200596298906,103.85863708307622,1.2471832,-0.6675811,-0.6893945,-1.2471832,-1.1676837,1,1,0
139452047,30.787200590229332,103.85863682445084,1.2584293,-0.668256,-0.7140996,-1.2584293,-1.1679428,1,1,0
139507759,30.787200582661,103.8586365153044,1.271861,-0.66909754,-0.7436307,-1.271861,-1.1675076,1,1,0
139563133,30.787200577324736,103.85863624315695,1.2806622,-0.6696909,-0.7696275,-1.2806622,-1.1733358,1,1,0
139628725,30.78720057808214,103.85863595938115,1.2752417,-0.6696067,-0.7967351,-1.2752417,-1.1811901,1,1,0
139695316,30.787200586442157,103.85863567678156,1.2678001,-0.6686771,-0.82373035,-1.2678001,-1.1872604,1,1,0
139760726,30.787200603442038,103.85863542928283,1.2612195,-0.6667868,-0.8473726,-1.2612195,-1.1950868,1,1,0
139848724,30.78720064854689,103.85863516117371,1.2557782,-0.66177136,-0.87298363,-1.2557782,-1.2012826,1,1,0
139947903,30.78720070363918,103.85863487856537,1.2492092,-0.6556454,-0.8999797,-1.2492092,-1.1965264,1,1,0
140024864,30.787200732723488,103.85863460361503,1.2455175,-0.65241134,-0.92624426,-1.2455175,-1.1816987,1,1,0
140090828,30.787200751409202,103.85863434385526,1.2427267,-0.6503336,-0.95105773,-1.2427267,-1.1665813,1,1,0
140157729,30.787200758949083,103.85863408388958,1.2392973,-0.6494952,-0.9758909,-1.2392973,-1.1545259,1,1,0
140223971,30.78720075346646,103.85863379256999,1.2315835,-0.6501048,-1.0037191,-1.2315835,-1.1432809,1,1,0
140279205,30.78720073985324,103.85863353442943,1.2251207,-0.65161854,-1.0283779,-1.2251207,-1.1335655,1,1,0
140344779,30.787200714029606,103.85863322004663,1.2176139,-0.65449,-1.0584092,-1.2176139,-1.1217817,1,1,0
140399764,30.78720068454645,103.85863294053382,1.2131785,-0.65776837,-1.0851096,-1.2131785,-1.1116182,1,1,0
140455751,30.78720065019822,103.8586326573221,1.2105261,-0.6615877,-1.1121633,-1.2105261,-1.1009209,1,1,0
140510733,30.787200614805776,103.85863237525601,1.2109324,-0.6655232,-1.1391076,-1.2109324,-1.0887328,1,1,0
140554783,30.787200586498155,103.85863212401034,1.2158785,-0.66867083,-1.1631078,-1.2158785,-1.0784876,1,1,0
140609726,30.78720056290284,103.85863181678323,1.2264805,-0.6712945,-1.1924555,-1.2264805,-1.0693895,1,1,0
140665903,30.787200549039266,103.85863155565885,1.2343016,-0.67283607,-1.2173994,-1.2343016,-1.0557309,1,1,0
140731862,30.787200545180312,103.85863128447853,1.2413493,-0.67326516,-1.2433038,-1.2413493,-1.0414697,1,1,0
140797728,30.787200558936078,103.85863101658158,1.2460752,-0.6717356,-1.2688946,-1.2460752,-1.0385984,1,1,0
140852758,30.787200584966563,103.85863076502766,1.2479414,-0.6688411,-1.2929242,-1.2479414,-1.0325543,1,1,0
140918755,30.787200632185,103.85863048746661,1.2485816,-0.66359067,-1.3194381,-1.2485816,-1.0112195,1,1,0
140973728,30.787200684711824,103.85863025715764,1.2470136,-0.65774995,-1.3414383,-1.2470136,-0.9921923,1,1,0
141040169,30.787200758756793,103.8586299837897,1.2432636,-0.6495165,-1.3675517,-1.2432636,-0.9720595,1,1,0
141106727,30.78720084588053,103.85862970814799,1.2400035,-0.6398288,-1.3938823,-1.2400035,-0.954496,1,1,0
141161725,30.787200934687437,103.85862945184563,1.2384164,-0.6299539,-1.4183655,-1.2384164,-0.9370428,1,1,0
141217776,30.787201040940754,103.85862920588997,1.240136,-0.6181391,-1.4418603,-1.240136,-0.92055655,1,1,0
141272741,30.787201158044535,103.85862894396189,1.2415785,-0.60511774,-1.4668809,-1.2415785,-0.90645266,1,1,0
141328214,30.78720128611618,103.85862866492326,1.2429183,-0.5908768,-1.493536,-1.2429183,-0.89613163,1,1,0
141371893,30.78720139256461,103.85862842808255,1.2440153,-0.5790403,-1.5161601,-1.2440153,-0.89137506,1,1,0
141416131,30.78720150066028,103.85862818065931,1.2459977,-0.5670206,-1.5397952,-1.2459977,-0.88802445,1,1,0
141459902,30.787201615242008,103.85862792017883,1.2488441,-0.5542797,-1.5646775,-1.2488441,-0.8858492,1,1,0
141504234,30.78720173382257,103.8586276476682,1.2538619,-0.5410941,-1.590709,-1.2538619,-0.8888898,1,1,0
141547921,30.787201858560056,103.85862736121307,1.2604518,-0.52722394,-1.6180725,-1.2604518,-0.8938814,1,1,0
141592743,30.787201984464488,103.85862706417288,1.2673637,-0.513224,-1.6464472,-1.2673637,-0.90026003,1,1,0
141637741,30.787202112930114,103.85862676521585,1.2743989,-0.49893928,-1.675005,-1.2743989,-0.9076867,1,1,0
141681722,30.787202237550474,103.8586264835291,1.2800094,-0.48508212,-1.701913,-1.2800094,-0.9124329,1,1,0
141729033,30.787202369287805,103.8586262095384,1.2832004,-0.4704336,-1.7280859,-1.2832004,-0.9117321,1,1,0
141772821,30.78720248366772,103.85862599744563,1.2871478,-0.45771512,-1.748346,-1.2871478,-0.9060361,1,1,0
141828778,30.787202624271917,103.85862574438417,1.2947938,-0.44208065,-1.7725196,-1.2947938,-0.89507675,1,1,0
141884832,30.787202761858484,103.85862548948823,1.3023151,-0.4267817,-1.7968684,-1.3023151,-0.8909052,1,1,0
141940747,30.787202897603496,103.85862525721498,1.3089063,-0.41168755,-1.8190563,-1.3089063,-0.88886136,1,1,0
142009779,30.787203059941866,103.85862505329122,1.313576,-0.39363635,-1.838536,-1.313576,-0.8838317,1,1,0
142076747,30.787203226911885,103.85862485737303,1.3175038,-0.37507012,-1.857251,-1.3175038,-0.87907183,1,1,0
142144958,30.787203396695016,103.85862464902782,1.3226205,-0.3561911,-1.8771532,-1.3226205,-0.8671555,1,1,0
142200911,30.787203535495987,103.858624435898,1.324499,-0.34075713,-1.8975123,-1.324499,-0.85513973,1,1,0
142257032,30.787203672091152,103.85862420808239,1.3264438,-0.32556844,-1.9192743,-1.3264438,-0.84533465,1,1,0
