timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,high_latency_data_link_active,data_link_lost_counter,engine_failure,mission_failure
138033885,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
139034342,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
140035897,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
141040167,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
142044392,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
143047765,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
144055853,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
145064040,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
146068722,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
147076788,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
148085724,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
149094946,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
150101725,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
151103839,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
152105790,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
153114798,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
154120962,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
155121812,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
156130724,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
157135007,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
158139429,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
159144791,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
160152370,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
161158723,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0
162149969,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
163159749,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
164163760,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
165165744,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
166172742,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
167177823,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
168187065,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
169191758,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
170196779,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
171199832,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
172206725,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
173208562,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
174209722,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
175216720,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
